Timestamp,Level of effort instructor put into the course [Level of effort instructor put into the course],Contribution of course to your skill/knowledge [Contribution of course to your skill/knowledge],Skill and responsiveness of the instructor [Instructor was an effective lecturer/demonstrator],Skill and responsiveness of the instructor [Presentations were clear and organized],Skill and responsiveness of the instructor [Instructor stimulated student interest],Skill and responsiveness of the instructor [Instructor effectively used time during class periods],Skill and responsiveness of the instructor [Instructor was available and helpful],Skill and responsiveness of the instructor [Grading was prompt and had useful feedback],Course content [Learning objectives were clear],Course content [Course content was organized and well planned],Course content [Course workload was appropriate],Course content [Course organized to allow all students to participate fully],How would you rate the overall course?,What aspects of this course were most useful or valuable?,How would you improve this course?,Any other comments,Rating
7/17/2025 15:43:57,Very good,Satisfactory,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,,,,4
7/17/2025 15:44:31,Very good,Satisfactory,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,Most usful,By conducting more hands on session,Good faculty,4
7/17/2025 15:45:22,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,came to know about data science from scratch ,with more hands-on,overall satisfied with the content delivery,4
7/17/2025 15:45:51,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,Data Science and Machine learning types,Through more Practical Applications,Very Interesting Subject learned a lot and gained knowledge on machine learning,4
7/17/2025 15:46:15,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,Learning ML,By learning ML,NIL,4
7/17/2025 15:46:58,Excellent,Very good,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,"Machine learning, Data visualization using Tableau software",May be few practical case studies if referred then it will create further interest to all,"You are just an awesome teacher Wahid sir, Thanks for everything",4
7/17/2025 15:47:38,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,Linear Regression and knowing the basics of Data Science and its difference with Al and ML,,,4
7/17/2025 15:47:54,Excellent,Very good,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Very Good,data science we got some insight,more practical and hands on session,,4
7/17/2025 15:48:45,Excellent,Excellent,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very Good,"along with course Data science and Machine learning ,Analysis of Data was done  practically.",The course was excellent it will get more useful if more practical session or some programming languages are added.,Excellent Course Structure,4
7/17/2025 15:49:08,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,The most valuable aspect of this course was the hands-on coding assignments. The practical approach will be especially useful as I prepare for software development internships.,"The course provided a solid foundation in data analysis and machine learning. However, I think it could be improved by including more real-world datasets and project-based assessments. This would help us better understand how to tackle messy, real-life data problems.",The over all classes and labs were excellent and good ,4
7/17/2025 15:50:13,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Very Good,-,-,-,4
7/17/2025 15:51:50,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,Weka Tool,More practical experiments,Thank You,4
7/17/2025 15:52:38,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,Data science and machine learning,will improve this course by regular practice,no,4
7/17/2025 15:52:45,Very good,Very good,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very Good,"The practical examples, clear explanations, and Python sessions were very helpful",kick start to understand the course Include more hands-on exercises and some advanced topics.,Great course for beginners in data science. Thank you!,4
7/17/2025 15:53:31,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Very Good,Introducing  software tools has inspired as more valuable,As i am a beginner i can't comment sir,No,4
7/17/2025 15:54:47,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,"The relation between AI, Data Science, MLand DL",By practise or using algorithms to do a particular task. We can use the output results to prepare paper also ,"You are sincere and giving your full efforts sir, Thanks for your dedication ",4
7/17/2025 15:58:21,Excellent,Very good,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Very Good,Very informative for non CS faculty,,,4
7/17/2025 15:59:25,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Very Good,Hands on experience on software,,,4
